title,Drama,Comedy,Horror,Film-Noir,Romance,Western,Adventure,Thriller,Fantasy,IMAX,Documentary,Children,Musical,Action,War,Mystery,Sci-Fi,Animation,Crime
Hollywood Ending (2002),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man (2002),0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
"Mystic Masseur, The (2001)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warm Water Under a Red Bridge (Akai hashi no shita no nurui mizu) (2001),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Big Sleep (1978),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Butterflies Are Free (1972),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cactus Flower (1969),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cassandra Crossing, The (1976)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Giant Spider Invasion, The (1975)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Iron Will (1994),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mountains of the Moon (1990),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rambling Rose (1991),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Survivors, The (1983)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Fang (1991),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
White Fang 2: Myth of the White Wolf (1994),0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"New Guy, The (2002)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unfaithful (2002),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lady and the Duke, The (Anglaise et le duc, L') (2001)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whore (1991),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Beautiful Laundrette (1985),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballad of a Soldier (Ballada o soldate) (1959),1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Big Bad Mama (1974),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Big Bad Mama II (1987),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Final Darkness, The (Buio Omega) (1979)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamity Jane (1953),0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Cranes Are Flying, The (Letyat zhuravli) (1957)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Devil Doll (1964),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harvey Girls, The (1946)",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Lady in Red, The (1979)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
About a Boy (2002),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode II - Attack of the Clones (2002),0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"Believer, The (2001)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Importance of Being Earnest, The (2002)",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charge of the Light Brigade, The (1968)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Every Which Way But Loose (1978),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hound of the Baskervilles, The (1959)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
I Want to Live! (1958),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Last Waltz, The (1978)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pride and the Passion, The (1957)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Enough (2002),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Insomnia (2002),1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
Spirit: Stallion of the Cimarron (2002),0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
CQ (2001),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thirteen Conversations About One Thing (a.k.a. 13 Conversations) (2001),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus Stop (1956),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cowboy (1958),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't Bother to Knock (1952),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gambler, The (1974)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let's Make Love (1960),0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Monkey Business (1952),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Requiem for a Heavyweight (1962),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
River of No Return (1954),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Sum of All Fears, The (2002)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Undercover Brother (2002),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaries of Vaslav Nijinsky, The (2002)",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Sleepy Time Gal, The (2001)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84 Charing Cross Road (1987),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dakota (1945),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desert Rats, The (1953)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bûche, La (1999)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nora (2000),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rapid Fire (1992),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Silent Running (1972),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Summer Holiday (1963),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Villain, The (1979)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zombie Holocaust (a.k.a. Doctor Butcher M.D.) (Zombi Holocaust) (1980),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bad Company (2002),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Divine Secrets of the Ya-Ya Sisterhood (2002),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherish (2002),1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Fast Runner, The (Atanarjuat) (2001)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bourne Identity, The (2002)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
Scooby-Doo (2002),0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
Windtalkers (2002),1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Dangerous Lives of Altar Boys, The (2002)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Emperor's New Clothes, The (2001)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gangster No. 1 (2000),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Harvard Man (2001),1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Dark Blue World (Tmavomodrý svet) (2001),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bad Company (1972),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Caveman (1981),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheech & Chong's The Corsican Brothers (1984),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Five Card Stud (a.k.a. 5 Card Stud) (1968),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
For a Lost Soldier (Voor een Verloren Soldaat) (1992),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goin' South (1978),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hero and the Terror (1988),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Silver Bullet (Stephen King's Silver Bullet) (1985),1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"Sorry, Wrong Number (1948)",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hombre (1967),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horse's Mouth, The (1958)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manhattan Project, The (1986)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Men at Work (1990),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S.O.B. (1981),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
She Wore a Yellow Ribbon (1949),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Traces of Red (1992),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
V. I. Warshawski (1991),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Juwanna Mann (2002),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lilo & Stitch (2002),0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
Minority Report (2002),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1
Rabbit-Proof Fence (2002),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sunshine State (2002),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hey Arnold! The Movie (2002),0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Mr. Deeds (2002),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lovely & Amazing (2001),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pumpkin (2002),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Look Who's Talking Now (1993),0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lost in Yonkers (1993),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mo' Money (1992),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Object of Beauty, The (1991)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wagons East (1994),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zebrahead (1992),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Like Mike (2002),0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Powerpuff Girls, The (2002)",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Me Without You (2001),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crocodile Hunter: Collision Course, The (2002)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Reign of Fire (2002),0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Road to Perdition (2002),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
All About Lily Chou-Chou (Riri Shushu no subete) (2001),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
My Wife is an Actress (Ma Femme est une Actrice) (2001),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Never Again (2001),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 Million Miles to Earth (1957),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Grand Theft Auto (1977),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Importance of Being Earnest (1952),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perfect (1985),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1776 (1972),1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Fox and His Friends (Faustrecht der Freiheit) (1975),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Legend of Boggy Creek, The (1972)",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Z (1969),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Halloween: Resurrection (Halloween 8) (2002),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sex and Lucia (Lucía y el sexo) (2001),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eight Legged Freaks (2002),0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
K-19: The Widowmaker (2002),1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Stuart Little 2 (2002),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Austin Powers in Goldmember (2002),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Country Bears, The (2002)",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Kid Stays in the Picture, The (2002)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Happy Times (Xingfu shiguang) (2000),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tadpole (2002),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Who Is Cletis Tout? (2001),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry and Walter Go to New York (1976),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Merchant of Four Seasons, The (Händler der vier Jahreszeiten) (1972)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nosferatu the Vampyre (Nosferatu: Phantom der Nacht) (1979),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Big Bus (1976),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Eddy Duchin Story, The (1956)",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fathom (1967),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
In Like Flint (1967),0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Earth Trembles, The (Terra trema: Episodio del mare, La) (1948)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modesty Blaise (1966),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ossessione (1943),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Our Man Flint (1965),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Red Beard (Akahige) (1965),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin and Marian (1976),1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Top Secret! (1984),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Master of Disguise, The (2002)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Signs (2002),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Last Kiss, The (Ultimo bacio, L') (2001)",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spy Kids 2: The Island of Lost Dreams (2002),0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Good Girl, The (2002)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blood Work (2002),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
xXx (2002),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
24 Hour Party People (2002),1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Biggie and Tupac (2002),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Château, The (2001)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pandora's Box (2002),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Secret Ballot (Raye makhfi) (2001),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Lawrence Live: Runteldat (2002),0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lan Yu (2001),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Songs From the Second Floor (Sånger från andra våningen) (2000),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Read My Lips (Sur mes lèvres) (2001),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Nightcap (Merci pour le chocolat) (2000),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Beau Pere (a.k.a. Stepfather) (Beau-père) (1981),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change of Habit (1969),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matter of Taste, A (Affaire de Goût, Une) (2000)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Principal, The (1987)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Rollerball (1975),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Adventures of Pluto Nash, The (2002)",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Blue Crush (2002),1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mostly Martha (Bella Martha) (2001),1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isle, The (Seom) (2000)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession (2002),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One Hour Photo (2002),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Serving Sara (2002),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simone (S1m0ne) (2002),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Undisputed (2002),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amy's O (a.k.a. Amy's Orgasm) (2001),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Children On Their Birthdays (2002),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hush! (2001),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How I Killed My Father (a.k.a. My Father and I) (Comment j'ai tué mon Père) (2001),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hybrid (2000),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Satin Rouge (2002),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Care Bears Movie, The (1985)",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Care Bears Movie II: A New Generation (1986),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Clash of the Titans (1981),0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Hot Shots! (1991),0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Nightmare City (a.k.a. City of the Walking Dead) (a.k.a. Invasión de los zombies atómicos, La) (Incubo sulla città contaminata) (1980)",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Swarm, The (1978)",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Time After Time (1979),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Unearthly, The (1957)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
976-EVIL (1989),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camilla (1994),1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Down and Out in Beverly Hills (1986),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flaming Star (1960),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Love Me Tender (1956),0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Return of the Vampire, The (1944)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Revenge of Frankenstein, The (1958)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Stakeout (1987),0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Wild in the Country (1961),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolfen (1981),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FearDotCom (a.k.a. Fear.com) (a.k.a. Fear Dot Com) (2002),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Slap Her... She's French (a.k.a. She Gets What She Wants) (2002),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love and a Bullet (2002),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Mad Love (Juana la Loca) (2001),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
À nous la liberté (Freedom for Us) (1931),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
True Colors (1991),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snipes (2001),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
City by the Sea (2002),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Swimfan (2002),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Dogwalker, The (2002)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heartbreak Hospital (2002),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Incubus, The (1981)",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Johnny Dangerously (1984),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Last House on the Left, The (1972)",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Thesis (Tesis) (1996),1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pinochet Case, The (Cas Pinochet, Le) (2001)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Barbershop (2002),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stealing Harvard (2002),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Transporter, The (2002)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Alias Betty (Betty Fisher et autres histoires) (2001),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Children of the Century, The (Enfants du siècle, Les) (1999)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igby Goes Down (2002),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quitting (Zuotian) (2001),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspen Extreme (1993),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Betsy's Wedding (1990),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain Ron (1992),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Devil Bat, The (1940)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Ernest Goes to Jail (1990),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ernest Scared Stupid (1991),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gypsy Moths, The (1969)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hills Have Eyes Part II, The (1985)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hills Have Eyes, The (1977)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian Summer (1993),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mack, The (1973)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Monkey Trouble (1994),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Monster in the Closet (1986),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Way to Treat a Lady (1968),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Shock Waves (1977),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spaced Invaders (1990),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Suburban Commando (1991),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Surf Ninjas (1993),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabu: A Story of the South Seas (1931),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wanderers, The (1979)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yearling, The (1946)",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ladykillers, The (1955)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lavender Hill Mob, The (1951)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Man in the White Suit, The (1951)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ratcatcher (1999),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Society (1989),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Son of the Bride (Hijo de la novia, El) (2001)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Das Experiment (Experiment, The) (2001)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ballistic: Ecks vs. Sever (2002),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Banger Sisters, The (2002)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
